Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress
P067,Apartment Complex Development Project 067,Other,Texas,30/01/2024,26/12/2024,Completed,Medium,T002,Task 002 of Apartment Complex Development Project 067,In Progress,Grace,4,9597,0,0.71
P067,Apartment Complex Development Project 067,Other,New York,30/01/2024,03/03/2024,Completed,High,T003,Task 003 of Apartment Complex Development Project 067,Completed,Ivy,8,2143,1984,1
P068,Commercial Center Construction Project 068,Construction,New York,30/01/2024,28/05/2025,Behind,Low,T001,Task 001 of Commercial Center Construction Project 068,Pending,Alice,28,6658,0,0.48
P068,Commercial Center Construction Project 068,Construction,Illinois,30/01/2024,13/02/2025,Behind,Low,T002,Task 002 of Commercial Center Construction Project 068,Pending,Charlie,32,8758,0,0.93
P068,Commercial Center Construction Project 068,Construction,California,30/01/2024,03/03/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 068,Completed,Charlie,8,9806,9477,1
P069,Highway Reconstruction Project 069,Other,Washington,25/02/2024,01/03/2025,On Track,High,T001,Task 001 of Highway Reconstruction Project 069,Pending,Charlie,16,3424,0,0.28
P069,Highway Reconstruction Project 069,Other,North Carolina,25/02/2024,14/08/2025,On Track,High,T002,Task 002 of Highway Reconstruction Project 069,In Progress,Ivy,36,8166,0,0.13
P069,Highway Reconstruction Project 069,Other,North Carolina,25/02/2024,08/08/2025,On Track,Low,T003,Task 003 of Highway Reconstruction Project 069,Pending,Eve,3,9968,0,0.5
P070,Airport Expansion Project 070,Other,California,28/02/2024,23/06/2025,Behind,High,T001,Task 001 of Airport Expansion Project 070,In Progress,Alice,0,9313,0,0.98
P070,Airport Expansion Project 070,Other,Michigan,28/02/2024,27/09/2025,Behind,High,T002,Task 002 of Airport Expansion Project 070,In Progress,David,21,4494,0,0.11
P070,Airport Expansion Project 070,Other,Florida,28/02/2024,01/04/2024,Behind,High,T003,Task 003 of Airport Expansion Project 070,Completed,Alice,26,7738,7435,1
P071,Shopping Mall Renovation Project 071,Renovation,Virginia,10/02/2024,18/02/2024,On Track,High,T001,Task 001 of Shopping Mall Renovation Project 071,Completed,Eve,32,8568,8546,1
P071,Shopping Mall Renovation Project 071,Renovation,Texas,10/02/2024,19/02/2024,On Track,High,T002,Task 002 of Shopping Mall Renovation Project 071,In Progress,Eve,3,1052,0,0.62
P071,Shopping Mall Renovation Project 071,Renovation,Pennsylvania,10/02/2024,17/02/2024,On Track,High,T003,Task 003 of Shopping Mall Renovation Project 071,Completed,Alice,10,7325,6853,1
P072,University Dormitory Construction Project 072,Construction,Ohio,23/04/2024,27/05/2025,On Hold,High,T001,Task 001 of University Dormitory Construction Project 072,In Progress,Frank,20,7862,0,0.77
P072,University Dormitory Construction Project 072,Construction,Georgia,23/04/2024,26/05/2024,On Hold,High,T002,Task 002 of University Dormitory Construction Project 072,Completed,Bob,29,7708,7268,1
P072,University Dormitory Construction Project 072,Construction,New Jersey,23/04/2024,09/06/2025,On Hold,Medium,T003,Task 003 of University Dormitory Construction Project 072,Pending,Alice,0,3260,0,0.36
P073,Sports Stadium Upgrade Project 073,Other,Texas,06/05/2024,23/09/2024,Behind,Low,T001,Task 001 of Sports Stadium Upgrade Project 073,Completed,Alice,29,1702,1411,1
P073,Sports Stadium Upgrade Project 073,Other,Virginia,06/05/2024,22/08/2024,Behind,High,T002,Task 002 of Sports Stadium Upgrade Project 073,Completed,Bob,24,8403,8115,1
P073,Sports Stadium Upgrade Project 073,Other,Texas,06/05/2024,14/09/2024,Behind,High,T003,Task 003 of Sports Stadium Upgrade Project 073,Completed,David,14,4955,4586,1
P074,Public Library Renovation Project 074,Renovation,New York,21/05/2024,26/07/2024,Behind,High,T001,Task 001 of Public Library Renovation Project 074,Pending,Grace,13,3533,0,0.74
P074,Public Library Renovation Project 074,Renovation,Washington,21/05/2024,01/08/2024,Behind,High,T002,Task 002 of Public Library Renovation Project 074,Pending,Alice,8,8279,0,0.18
P074,Public Library Renovation Project 074,Renovation,Texas,21/05/2024,17/07/2024,Behind,High,T003,Task 003 of Public Library Renovation Project 074,In Progress,Charlie,39,3680,0,0.05
P075,Building a Park Project 075,Other,Texas,11/05/2024,13/06/2024,Behind,Medium,T001,Task 001 of Building a Park Project 075,Completed,Ivy,11,8493,12398,1
P075,Building a Park Project 075,Other,Washington,11/05/2024,12/09/2025,Behind,Medium,T002,Task 002 of Building a Park Project 075,Pending,Alice,11,3828,0,0.26
P075,Building a Park Project 075,Other,Virginia,11/05/2024,26/07/2025,Behind,Medium,T003,Task 003 of Building a Park Project 075,In Progress,Bob,0,6118,0,0.29
P076,Renovation of a School Project 076,Renovation,Michigan,11/07/2024,01/08/2024,On Track,High,T001,Task 001 of Renovation of a School Project 076,Pending,Bob,15,6558,0,0.71
P076,Renovation of a School Project 076,Renovation,New York,11/07/2024,11/08/2024,On Track,Medium,T002,Task 002 of Renovation of a School Project 076,Completed,Eve,19,1044,899,1
P076,Renovation of a School Project 076,Renovation,Ohio,11/07/2024,01/08/2024,On Track,High,T003,Task 003 of Renovation of a School Project 076,Pending,Eve,10,7397,0,0.21
P077,Innovation of a Classroom Project 077,Innovation,California,09/04/2024,07/02/2025,On Hold,Medium,T001,Task 001 of Innovation of a Classroom Project 077,In Progress,Eve,2,8832,0,0.85
P077,Innovation of a Classroom Project 077,Innovation,Virginia,09/04/2024,12/05/2024,On Hold,High,T002,Task 002 of Innovation of a Classroom Project 077,Completed,Charlie,39,3123,2841,1
P077,Innovation of a Classroom Project 077,Innovation,Florida,09/04/2024,13/03/2025,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 077,Pending,David,1,6854,0,0.15
P078,Construction of a Hospital Wing Project 078,Construction,Michigan,26/01/2024,19/04/2024,On Hold,High,T001,Task 001 of Construction of a Hospital Wing Project 078,Completed,Alice,25,8429,8416,1
P078,Construction of a Hospital Wing Project 078,Construction,New Jersey,26/01/2024,18/03/2024,On Hold,High,T002,Task 002 of Construction of a Hospital Wing Project 078,In Progress,Grace,4,1501,0,0.95
P078,Construction of a Hospital Wing Project 078,Construction,Pennsylvania,26/01/2024,09/04/2024,On Hold,Medium,T003,Task 003 of Construction of a Hospital Wing Project 078,Completed,Alice,12,8487,8486,1
P079,Road Expansion Project 079,Infrastructure,California,22/04/2024,13/01/2025,Completed,High,T001,Task 001 of Road Expansion Project 079,In Progress,Grace,13,6425,0,0.11
P079,Road Expansion Project 079,Infrastructure,Florida,22/04/2024,15/03/2025,Completed,High,T002,Task 002 of Road Expansion Project 079,In Progress,Ivy,34,8044,0,0.05
P079,Road Expansion Project 079,Infrastructure,New York,22/04/2024,25/05/2024,Completed,Medium,T003,Task 003 of Road Expansion Project 079,Completed,Charlie,13,9524,9474,1
P080,Bridge Maintenance Project 080,Maintenance,Ohio,16/04/2024,09/07/2024,On Track,High,T001,Task 001 of Bridge Maintenance Project 080,Pending,Eve,13,4368,0,0.7
P080,Bridge Maintenance Project 080,Maintenance,New Jersey,16/04/2024,23/06/2024,On Track,Low,T002,Task 002 of Bridge Maintenance Project 080,In Progress,Grace,15,2261,0,0.65
P080,Bridge Maintenance Project 080,Maintenance,Texas,16/04/2024,06/07/2024,On Track,Medium,T003,Task 003 of Bridge Maintenance Project 080,Completed,Alice,27,8706,8333,1
P081,Office Building Renovation Project 081,Renovation,Pennsylvania,31/05/2024,04/01/2025,On Track,High,T001,Task 001 of Office Building Renovation Project 081,In Progress,Alice,26,1149,0,0.08
P081,Office Building Renovation Project 081,Renovation,Virginia,31/05/2024,03/03/2025,On Track,Medium,T002,Task 002 of Office Building Renovation Project 081,In Progress,Frank,5,5011,0,0.09
P081,Office Building Renovation Project 081,Renovation,North Carolina,31/05/2024,03/07/2024,On Track,High,T003,Task 003 of Office Building Renovation Project 081,Completed,Ivy,5,6163,5756,1
P082,Apartment Complex Development Project 082,Other,Ohio,01/07/2024,12/03/2025,On Track,Medium,T001,Task 001 of Apartment Complex Development Project 082,In Progress,Ivy,4,7524,0,0.47
P082,Apartment Complex Development Project 082,Other,Florida,01/07/2024,25/09/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 082,Completed,Grace,10,2202,1878,1
P082,Apartment Complex Development Project 082,Other,Pennsylvania,01/07/2024,17/03/2025,On Track,High,T003,Task 003 of Apartment Complex Development Project 082,In Progress,Ivy,21,6835,0,0.58
P083,Commercial Center Construction Project 083,Construction,Michigan,20/03/2024,05/06/2024,Behind,Medium,T001,Task 001 of Commercial Center Construction Project 083,Completed,Alice,24,8645,8633,1
P083,Commercial Center Construction Project 083,Construction,New York,20/03/2024,25/05/2024,Behind,High,T002,Task 002 of Commercial Center Construction Project 083,Completed,Charlie,19,9360,9196,1
P083,Commercial Center Construction Project 083,Construction,Georgia,20/03/2024,15/06/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 083,In Progress,Charlie,28,2183,0,0.37
P084,Highway Reconstruction Project 084,Other,Georgia,09/06/2024,08/05/2025,On Hold,Low,T001,Task 001 of Highway Reconstruction Project 084,Pending,Charlie,17,1713,0,0.54
P084,Highway Reconstruction Project 084,Other,North Carolina,09/06/2024,19/04/2025,On Hold,Medium,T002,Task 002 of Highway Reconstruction Project 084,In Progress,Ivy,16,6400,0,0.91
P084,Highway Reconstruction Project 084,Other,North Carolina,09/06/2024,25/03/2025,On Hold,High,T003,Task 003 of Highway Reconstruction Project 084,Pending,Eve,14,3319,0,0.2
P085,Airport Expansion Project 085,Other,Virginia,03/08/2024,18/11/2024,Completed,Low,T001,Task 001 of Airport Expansion Project 085,Pending,Alice,17,8340,0,0.02
P085,Airport Expansion Project 085,Other,Illinois,03/08/2024,25/09/2024,Completed,High,T002,Task 002 of Airport Expansion Project 085,Completed,David,15,4749,4572,1
P085,Airport Expansion Project 085,Other,New Jersey,03/08/2024,19/11/2024,Completed,High,T003,Task 003 of Airport Expansion Project 085,Pending,Alice,24,6222,0,0.51
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,29/01/2024,10/12/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 086,In Progress,Eve,35,9246,0,0.54
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,29/01/2024,25/09/2024,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 086,Completed,Eve,6,7327,7120,1
P086,Shopping Mall Renovation Project 086,Renovation,Virginia,29/01/2024,17/10/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 086,Pending,Alice,19,6331,0,0.25
P087,University Dormitory Construction Project 087,Construction,California,17/02/2024,11/09/2025,On Track,High,T001,Task 001 of University Dormitory Construction Project 087,In Progress,Frank,8,2256,0,0.06
P087,University Dormitory Construction Project 087,Construction,New York,17/02/2024,07/10/2025,On Track,Medium,T002,Task 002 of University Dormitory Construction Project 087,Pending,Bob,1,5371,0,0.45
P087,University Dormitory Construction Project 087,Construction,North Carolina,17/02/2024,06/10/2025,On Track,High,T003,Task 003 of University Dormitory Construction Project 087,In Progress,Alice,12,2434,0,0.3
P088,Sports Stadium Upgrade Project 088,Other,Georgia,21/07/2024,13/02/2025,Completed,High,T001,Task 001 of Sports Stadium Upgrade Project 088,In Progress,Alice,16,7504,0,0.29
P088,Sports Stadium Upgrade Project 088,Other,Virginia,21/07/2024,02/02/2025,Completed,Medium,T002,Task 002 of Sports Stadium Upgrade Project 088,Pending,Bob,30,7717,0,0.48
P088,Sports Stadium Upgrade Project 088,Other,Washington,21/07/2024,21/12/2024,Completed,High,T003,Task 003 of Sports Stadium Upgrade Project 088,In Progress,David,18,4651,0,0.77
P089,Public Library Renovation Project 089,Renovation,Georgia,26/05/2024,06/05/2025,On Track,Medium,T001,Task 001 of Public Library Renovation Project 089,In Progress,Grace,17,5791,0,0.75
P089,Public Library Renovation Project 089,Renovation,Washington,26/05/2024,18/07/2025,On Track,High,T002,Task 002 of Public Library Renovation Project 089,In Progress,Alice,4,4133,0,0.23
P089,Public Library Renovation Project 089,Renovation,Washington,26/05/2024,28/06/2024,On Track,Medium,T003,Task 003 of Public Library Renovation Project 089,Completed,Charlie,34,8716,8476,1
P090,Building a Park Project 090,Other,Michigan,11/06/2024,14/07/2024,Completed,High,T001,Task 001 of Building a Park Project 090,Completed,Ivy,21,9174,9031,1
P090,Building a Park Project 090,Other,North Carolina,11/06/2024,01/09/2025,Completed,Low,T002,Task 002 of Building a Park Project 090,In Progress,Alice,27,9702,0,0.08
P090,Building a Park Project 090,Other,Georgia,11/06/2024,21/10/2025,Completed,High,T003,Task 003 of Building a Park Project 090,In Progress,Bob,21,8975,0,0.96
P091,Renovation of a School Project 091,Renovation,Michigan,22/05/2024,24/06/2024,On Hold,High,T001,Task 001 of Renovation of a School Project 091,Completed,Bob,23,7491,7138,1
P091,Renovation of a School Project 091,Renovation,Michigan,22/05/2024,13/03/2025,On Hold,Medium,T002,Task 002 of Renovation of a School Project 091,Pending,Eve,22,4013,0,0.92
P091,Renovation of a School Project 091,Renovation,New York,22/05/2024,21/03/2025,On Hold,Low,T003,Task 003 of Renovation of a School Project 091,Pending,Eve,33,1670,0,0.64
P092,Innovation of a Classroom Project 092,Innovation,California,03/03/2024,26/11/2024,Completed,Medium,T001,Task 001 of Innovation of a Classroom Project 092,Pending,Eve,22,6004,0,0.04
P092,Innovation of a Classroom Project 092,Innovation,Illinois,03/03/2024,25/09/2024,Completed,Medium,T002,Task 002 of Innovation of a Classroom Project 092,Completed,Charlie,13,9649,9485,1
P092,Innovation of a Classroom Project 092,Innovation,Georgia,03/03/2024,25/09/2024,Completed,High,T003,Task 003 of Innovation of a Classroom Project 092,Completed,David,11,5921,5788,1
P093,Construction of a Hospital Wing Project 093,Construction,Virginia,19/08/2024,21/09/2024,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 093,Completed,Alice,40,4306,3888,1
P093,Construction of a Hospital Wing Project 093,Construction,Illinois,19/08/2024,19/04/2025,Completed,Low,T002,Task 002 of Construction of a Hospital Wing Project 093,In Progress,Grace,31,8367,0,0.75
P093,Construction of a Hospital Wing Project 093,Construction,Georgia,19/08/2024,21/09/2024,Completed,Low,T003,Task 003 of Construction of a Hospital Wing Project 093,Completed,Charlie,0,4178,4148,1
P094,Road Expansion Project 094,Infrastructure,North Carolina,28/06/2024,06/10/2024,Behind,High,T001,Task 001 of Road Expansion Project 094,In Progress,Grace,13,1773,0,0.44
P094,Road Expansion Project 094,Infrastructure,Illinois,28/06/2024,29/09/2024,Behind,High,T002,Task 002 of Road Expansion Project 094,In Progress,Ivy,20,7829,0,0.42
P094,Road Expansion Project 094,Infrastructure,Virginia,28/06/2024,23/09/2024,Behind,Medium,T003,Task 003 of Road Expansion Project 094,In Progress,Charlie,39,1447,3357,0.37
P095,Bridge Maintenance Project 095,Maintenance,Ohio,17/02/2024,02/08/2024,Behind,Medium,T001,Task 001 of Bridge Maintenance Project 095,Pending,Eve,24,8329,0,0.81
P095,Bridge Maintenance Project 095,Maintenance,Illinois,17/02/2024,29/06/2024,Behind,Low,T002,Task 002 of Bridge Maintenance Project 095,In Progress,Grace,34,6160,0,0.97
P095,Bridge Maintenance Project 095,Maintenance,New Jersey,17/02/2024,27/07/2024,Behind,High,T003,Task 003 of Bridge Maintenance Project 095,In Progress,Charlie,7,6083,0,0.58
P096,Office Building Renovation Project 096,Renovation,Georgia,03/03/2024,06/05/2025,On Track,Low,T001,Task 001 of Office Building Renovation Project 096,Pending,Alice,17,1235,0,0.69
P096,Office Building Renovation Project 096,Renovation,Illinois,03/03/2024,05/01/2025,On Track,Medium,T002,Task 002 of Office Building Renovation Project 096,In Progress,Frank,20,2984,6060,0.08
P096,Office Building Renovation Project 096,Renovation,Ohio,03/03/2024,09/03/2025,On Track,High,T003,Task 003 of Office Building Renovation Project 096,Pending,Ivy,32,5211,0,0.92
P097,Apartment Complex Development Project 097,Other,Washington,08/06/2024,08/12/2024,Behind,High,T001,Task 001 of Apartment Complex Development Project 097,Pending,Ivy,9,6292,0,0.5
P097,Apartment Complex Development Project 097,Other,Florida,08/06/2024,08/03/2025,Behind,Medium,T002,Task 002 of Apartment Complex Development Project 097,Pending,Grace,17,2335,0,0.2
P097,Apartment Complex Development Project 097,Other,Virginia,08/06/2024,21/12/2024,Behind,High,T003,Task 003 of Apartment Complex Development Project 097,Pending,Ivy,32,3956,0,0.66
P098,Commercial Center Construction Project 098,Construction,Illinois,15/08/2024,23/01/2025,Completed,Medium,T001,Task 001 of Commercial Center Construction Project 098,In Progress,Alice,12,8906,0,0.67
P098,Commercial Center Construction Project 098,Construction,Texas,15/08/2024,28/01/2025,Completed,Medium,T002,Task 002 of Commercial Center Construction Project 098,Pending,Charlie,25,8346,0,0.83
P098,Commercial Center Construction Project 098,Construction,Michigan,15/08/2024,27/04/2025,Completed,High,T003,Task 003 of Commercial Center Construction Project 098,In Progress,Charlie,20,5134,0,0.3
P099,Highway Reconstruction Project 099,Other,New Jersey,31/05/2024,22/12/2024,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 099,Pending,Charlie,7,7307,0,0.14
P099,Highway Reconstruction Project 099,Other,New York,31/05/2024,01/03/2025,Completed,High,T002,Task 002 of Highway Reconstruction Project 099,Pending,Ivy,5,9425,0,0.36
P099,Highway Reconstruction Project 099,Other,Florida,31/05/2024,11/03/2025,Completed,High,T003,Task 003 of Highway Reconstruction Project 099,Pending,Eve,19,5199,0,0.91
P100,Airport Expansion Project 100,Other,Virginia,08/08/2024,02/09/2024,On Track,Medium,T001,Task 001 of Airport Expansion Project 100,Pending,Charlie,30,2156,0,0.85
P100,Airport Expansion Project 100,Other,Pennsylvania,08/08/2024,30/08/2024,On Track,Medium,T002,Task 002 of Airport Expansion Project 100,Pending,David,12,1502,0,0.02
P100,Airport Expansion Project 100,Other,Virginia,08/08/2024,30/08/2024,On Track,Medium,T003,Task 003 of Airport Expansion Project 100,In Progress,Alice,38,8619,0,0.86
